OBJECTID,GEOID,GEO,NAME,NEGATIVE,POSITIVE,HOSP_YES,HOSP_NO,HOSP_UNK,POS_FEM,POS_MALE,POS_OTH,POS_0_9,POS_10_19,POS_20_29,POS_30_39,POS_40_49,POS_50_59,POS_60_69,POS_70_79,POS_80_89,POS_90,DEATHS,DTHS_FEM,DTHS_MALE,DTHS_OTH,DTHS_0_9,DTHS_10_19,DTHS_20_29,DTHS_30_39,DTHS_40_49,DTHS_50_59,DTHS_60_69,DTHS_70_79,DTHS_80_89,DTHS_90,IP_Y_0_9,IP_Y_10_19,IP_Y_20_29,IP_Y_30_39,IP_Y_40_49,IP_Y_50_59,IP_Y_60_69,IP_Y_70_79,IP_Y_80_89,IP_Y_90,IP_N_0_9,IP_N_10_19,IP_N_20_29,IP_N_30_39,IP_N_40_49,IP_N_50_59,IP_N_60_69,IP_N_70_79,IP_N_80_89,IP_N_90,IP_U_0_9,IP_U_10_19,IP_U_20_29,IP_U_30_39,IP_U_40_49,IP_U_50_59,IP_U_60_69,IP_U_70_79,IP_U_80_89,IP_U_90,IC_YES,IC_Y_0_9,IC_Y_10_19,IC_Y_20_29,IC_Y_30_39,IC_Y_40_49,IC_Y_50_59,IC_Y_60_69,IC_Y_70_79,IC_Y_80_89,IC_Y_90,POS_AIAN,POS_ASN,POS_BLK,POS_WHT,POS_MLTOTH,POS_UNK,POS_E_HSP,POS_E_NHSP,POS_E_UNK,DTH_AIAN,DTH_ASN,DTH_BLK,DTH_WHT,DTH_MLTOTH,DTH_UNK,DTH_E_HSP,DTH_E_NHSP,DTH_E_UNK,POS_HC_Y,POS_HC_N,POS_HC_UNK,DTH_NEW,POS_NEW,NEG_NEW,TEST_NEW,DATE,PROP_0_9,PROP_10_19,PROP_20_29,PROP_30_39,PROP_40_49,PROP_50_59,PROP_60_69,PROP_70
63829,55035,County,Eau Claire,,7,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,2020/03/28 14:00:00+00,NA,NA,NA,NA,NA,NA,NA,NA
63902,55035,County,Eau Claire,,10,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,,,2020/03/29 14:00:00+00,NA,NA,NA,NA,NA,NA,NA,NA
63975,55035,County,Eau Claire,452,10,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,2020/03/30 14:00:00+00,NA,NA,NA,NA,NA,NA,NA,NA
64048,55035,County,Eau Claire,495,11,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,43,44,2020/03/31 14:00:00+00,NA,NA,NA,NA,NA,NA,NA,NA
64121,55035,County,Eau Claire,530,12,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,35,36,2020/04/01 14:00:00+00,NA,NA,NA,NA,NA,NA,NA,NA
64194,55035,County,Eau Claire,563,14,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,33,35,2020/04/02 14:00:00+00,NA,NA,NA,NA,NA,NA,NA,NA
64267,55035,County,Eau Claire,666,16,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,103,105,2020/04/03 14:00:00+00,NA,NA,NA,NA,NA,NA,NA,NA
64340,55035,County,Eau Claire,766,17,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,100,101,2020/04/04 14:00:00+00,NA,NA,NA,NA,NA,NA,NA,NA
64413,55035,County,Eau Claire,824,21,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,58,62,2020/04/05 14:00:00+00,NA,NA,NA,NA,NA,NA,NA,NA
64486,55035,County,Eau Claire,869,21,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,45,45,2020/04/06 14:00:00+00,NA,NA,NA,NA,NA,NA,NA,NA
64559,55035,County,Eau Claire,895,21,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,26,26,2020/04/07 14:00:00+00,NA,NA,NA,NA,NA,NA,NA,NA
